stock_id,Date,Open,High,Low,Close,Volume
8,24/09/2024 16:00:00,70.66,72.24,70.44,72.23,3565731
8,25/09/2024 16:00:00,72.1,72.51,71.62,72.16,2259775
8,26/09/2024 16:00:00,72.47,72.53,70.17,71.14,2832962
8,27/09/2024 16:00:00,70.84,71.07,70.13,70.74,2395613
8,30/09/2024 16:00:00,70.7,71.12,70.28,70.93,1711508
8,01/10/2024 16:00:00,71.36,71.78,69.86,70.61,2813482
8,02/10/2024 16:00:00,70.61,71.62,70.47,71.11,1758167
8,03/10/2024 16:00:00,70.43,70.88,70,70.68,2256449
8,04/10/2024 16:00:00,71.33,72.1,70.88,71.97,2230139
8,07/10/2024 16:00:00,71.48,71.59,69.64,70.19,3360520
8,08/10/2024 16:00:00,70.39,72.51,70.35,72.18,3187402
8,09/10/2024 16:00:00,71.93,72.86,71.89,72.74,1981070
8,10/10/2024 16:00:00,72.33,73.39,72.25,73.03,2767862
8,11/10/2024 16:00:00,73.49,73.6,72.12,72.28,2299525
8,14/10/2024 16:00:00,72.5,72.66,71.13,71.3,2797071
8,15/10/2024 16:00:00,71.25,71.34,69.98,70.6,2932752
8,16/10/2024 16:00:00,70.34,70.56,69.78,70.2,2494276
8,17/10/2024 16:00:00,70.44,70.44,67.79,68.77,8926672
8,18/10/2024 16:00:00,73.76,76.63,73.62,76.39,15974119
8,21/10/2024 16:00:00,76.58,77.3,75.66,77.21,6057093
8,22/10/2024 16:00:00,76.53,76.97,76.11,76.42,2987252
8,23/10/2024 16:00:00,76.28,76.38,74.43,74.93,3749007
8,24/10/2024 16:00:00,75.2,75.58,74.63,75.46,2642962
8,25/10/2024 16:00:00,75.62,76.85,75.35,75.47,2819473
8,28/10/2024 16:00:00,75.87,75.87,74.79,74.91,2862405
8,29/10/2024 16:00:00,75.11,76.39,74.8,75.94,3660433
8,30/10/2024 16:00:00,75.81,75.98,75.23,75.37,1722002
8,31/10/2024 16:00:00,75.39,76.08,75.22,75.6,3057709
8,01/11/2024 16:00:00,75.35,76.38,74.78,75.61,2996829
8,04/11/2024 16:00:00,75.31,76.25,74.97,75.55,1902194
8,05/11/2024 16:00:00,75.74,76.75,75.63,76.39,2200645
